2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
128.5972 	EXP 	fixation: autoDraw = True
129.5974 	EXP 	fixation: autoDraw = False
129.5974 	EXP 	grating: autoDraw = True
129.5974 	EXP 	grating: tex = 'sin'
129.9127 	EXP 	grating: autoDraw = False
129.9316 	EXP 	window1: recordFrameIntervals = False
129.9329 	DATA 	Keypress: right
129.9462 	EXP 	fixation: autoDraw = False
129.9462 	EXP 	grating: autoDraw = False
129.9465 	EXP 	window1: recordFrameIntervals = False
130.9438 	EXP 	fixation: autoDraw = True
131.9346 	EXP 	grating: autoDraw = True
131.9346 	EXP 	grating: tex = 'sin'
131.9510 	EXP 	fixation: autoDraw = False
132.2493 	EXP 	grating: autoDraw = False
132.3153 	EXP 	window1: recordFrameIntervals = False
132.3166 	DATA 	Keypress: left
132.3300 	EXP 	fixation: autoDraw = False
132.3300 	EXP 	grating: autoDraw = False
132.3302 	EXP 	window1: recordFrameIntervals = False
133.3278 	EXP 	fixation: autoDraw = True
134.3171 	EXP 	grating: autoDraw = True
134.3171 	EXP 	grating: tex = 'sin'
134.3338 	EXP 	fixation: autoDraw = False
134.6307 	EXP 	grating: autoDraw = False
134.7000 	EXP 	window1: recordFrameIntervals = False
134.7013 	DATA 	Keypress: right
134.7138 	EXP 	fixation: autoDraw = False
134.7138 	EXP 	grating: autoDraw = False
134.7140 	EXP 	window1: recordFrameIntervals = False
135.7169 	EXP 	fixation: autoDraw = True
136.7133 	EXP 	grating: autoDraw = True
136.7133 	EXP 	grating: tex = 'sin'
136.7300 	EXP 	fixation: autoDraw = False
137.0136 	EXP 	grating: autoDraw = False
137.0986 	EXP 	window1: recordFrameIntervals = False
137.0996 	DATA 	Keypress: right
137.1136 	EXP 	fixation: autoDraw = False
137.1136 	EXP 	grating: autoDraw = False
137.1138 	EXP 	window1: recordFrameIntervals = False
138.0994 	EXP 	fixation: autoDraw = True
139.1013 	EXP 	fixation: autoDraw = False
139.1013 	EXP 	grating: autoDraw = True
139.1013 	EXP 	grating: tex = 'sin'
139.4195 	EXP 	grating: autoDraw = False
139.5890 	EXP 	window1: recordFrameIntervals = False
139.5920 	DATA 	Keypress: right
139.6015 	EXP 	fixation: autoDraw = False
139.6015 	EXP 	grating: autoDraw = False
139.6019 	EXP 	window1: recordFrameIntervals = False
140.6000 	EXP 	fixation: autoDraw = True
141.6022 	EXP 	fixation: autoDraw = False
141.6022 	EXP 	grating: autoDraw = True
141.6022 	EXP 	grating: tex = 'sin'
141.9184 	EXP 	grating: autoDraw = False
141.9379 	DATA 	Keypress: right
141.9559 	EXP 	window1: recordFrameIntervals = False
141.9679 	EXP 	fixation: autoDraw = False
141.9679 	EXP 	grating: autoDraw = False
141.9683 	EXP 	window1: recordFrameIntervals = False
142.9672 	EXP 	fixation: autoDraw = True
143.9653 	EXP 	grating: autoDraw = True
143.9653 	EXP 	grating: tex = 'sin'
143.9819 	EXP 	fixation: autoDraw = False
144.2655 	EXP 	grating: autoDraw = False
144.3172 	EXP 	window1: recordFrameIntervals = False
144.3181 	DATA 	Keypress: right
144.3321 	EXP 	fixation: autoDraw = False
144.3321 	EXP 	grating: autoDraw = False
144.3323 	EXP 	window1: recordFrameIntervals = False
145.3185 	EXP 	fixation: autoDraw = True
146.3162 	EXP 	grating: autoDraw = True
146.3162 	EXP 	grating: tex = 'sin'
146.3329 	EXP 	fixation: autoDraw = False
146.6159 	EXP 	grating: autoDraw = False
146.7853 	EXP 	window1: recordFrameIntervals = False
146.7865 	DATA 	Keypress: left
146.7993 	EXP 	fixation: autoDraw = False
146.7993 	EXP 	grating: autoDraw = False
146.7995 	EXP 	window1: recordFrameIntervals = False
147.8019 	EXP 	fixation: autoDraw = True
148.7839 	EXP 	grating: autoDraw = True
148.7839 	EXP 	grating: tex = 'sin'
148.8188 	EXP 	fixation: autoDraw = False
149.0993 	EXP 	grating: autoDraw = False
149.3850 	EXP 	window1: recordFrameIntervals = False
149.3862 	DATA 	Keypress: left
149.3997 	EXP 	fixation: autoDraw = False
149.3997 	EXP 	grating: autoDraw = False
149.3998 	EXP 	window1: recordFrameIntervals = False
150.4023 	EXP 	fixation: autoDraw = True
151.3875 	EXP 	grating: autoDraw = True
151.3875 	EXP 	grating: tex = 'sin'
151.4045 	EXP 	fixation: autoDraw = False
151.7026 	EXP 	grating: autoDraw = False
151.9249 	EXP 	window1: recordFrameIntervals = False
151.9275 	DATA 	Keypress: right
151.9386 	EXP 	fixation: autoDraw = False
151.9386 	EXP 	grating: autoDraw = False
151.9390 	EXP 	window1: recordFrameIntervals = False
